From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)
C5EWZ0	C5EWZ0		C5EWZ0_9FIRM	deleted								
A0A4Q0HTN3	A0A4Q0HTN3	unreviewed	A0A4Q0HTN3_PSEAZ	Uncharacterized protein	B4O85_14620	Pseudomonas azotoformans	102					
A0A3N9QKE0	A0A3N9QKE0		A0A3N9QKE0_9RHOB	deleted								
A0A291ID69	A0A291ID69	unreviewed	A0A291ID69_BACAM	Surfactin synthetase	srfAB	Bacillus amyloliquefaciens (Bacillus velezensis)	204	GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]		
A0A1Z1N9P7	A0A1Z1N9P7		A0A1Z1N9P7_LACJH	deleted								
A0A4T1YHJ4	A0A4T1YHJ4		A0A4T1YHJ4_LEGPN	deleted								
A0A3D4SNB8	A0A3D4SNB8		A0A3D4SNB8_PSESP	deleted								
F3WPU4	F3WPU4		F3WPU4_9ENTR	deleted								
W4UDS1	W4UDS1		W4UDS1_CUTAC	deleted								
A0A263SHB2	A0A263SHB2		A0A263SHB2_PSEFL	deleted								
A0A2R9VYF0	A0A2R9VYF0		A0A2R9VYF0_ECOLX	deleted								
A0A256MK12	A0A256MK12		A0A256MK12_LACJH	deleted								
A0A2R7R8Y5	A0A2R7R8Y5		A0A2R7R8Y5_9PSED	deleted								
A0A244CH30	A0A244CH30		A0A244CH30_LACJH	deleted								
A0A0U5FCZ2	A0A0U5FCZ2	unreviewed	A0A0U5FCZ2_LIMRT	Ribulokinase (EC 2.7.1.16)	LRLP16767_LR202_01870	Limosilactobacillus reuteri (Lactobacillus reuteri)	392	GO:0008741	ribulokinase activity [GO:0008741]	ribulokinase activity [GO:0008741]		
A0A1H1XMA9	A0A1H1XMA9		A0A1H1XMA9_9PSED	deleted								
A0A256M9T8	A0A256M9T8		A0A256M9T8_LACJH	deleted								
A0A554TF53	A0A554TF53		A0A554TF53_9PSED	deleted								
A0A3M4G3H7	A0A3M4G3H7		A0A3M4G3H7_PSEFL	deleted								
A0A249NKT4	A0A249NKT4		A0A249NKT4_LACGS	deleted								
A0A0R2ZUR0	A0A0R2ZUR0	unreviewed	A0A0R2ZUR0_9PSED	LapA adhesin domain-containing protein	TX23_26675	Pseudomonas paralactis	193					
C7VDQ1	C7VDQ1		C7VDQ1_ENTFL	deleted								
M9T017	M9T017	unreviewed	M9T017_BACPU	Surfactin 2		Bacillus pumilus (Bacillus mesentericus)	422	GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]		
A0A4T9WA68	A0A4T9WA68		A0A4T9WA68_9FIRM	deleted								
A0A4P7ALV2	A0A4P7ALV2		A0A4P7ALV2_9PSED	deleted								
A0A0Q0IJA0	A0A0Q0IJA0	unreviewed	A0A0Q0IJA0_PSEAP	Sporadically distributed protein, TIGR04141 family	ALQ37_00610	Pseudomonas syringae pv. aptata	532					
A0A1V2SAW2	A0A1V2SAW2		A0A1V2SAW2_9BACI	deleted								
A0A3R8RWM0	A0A3R8RWM0		A0A3R8RWM0_9ACTO	deleted								
A0A550JQF6	A0A550JQF6		A0A550JQF6_9PROT	deleted								
A0A3G8ADW4	A0A3G8ADW4		A0A3G8ADW4_9PSED	deleted								
A0A4R6VUA3	A0A4R6VUA3		A0A4R6VUA3_9PSED	deleted								
V5P426	V5P426		V5P426_LACJH	deleted								
A0A376LF36	A0A376LF36	unreviewed	A0A376LF36_ECOLX	Triosephosphate isomerase (EC 5.3.1.1)	tpiA_2 NCTC7928_03526	Escherichia coli	96	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	cytosol [GO:0005829]
A5VLK1	A5VLK1	reviewed	RS19_LIMRD	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)	rpsS Lreu_1479	Limosilactobacillus reuteri (strain DSM 20016) (Lactobacillus reuteri)	92	GO:0000028; GO:0003735; GO:0005737; GO:0006412; GO:0015935; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935]
A0A4U9LLK5	A0A4U9LLK5		A0A4U9LLK5_ECOLX	deleted								
A0A4Q0HVB4	A0A4Q0HVB4	unreviewed	A0A4Q0HVB4_PSEAZ	DUF4760 domain-containing protein	B4O85_06885	Pseudomonas azotoformans	270	GO:0016020		membrane [GO:0016020]		membrane [GO:0016020]
Q74L90	Q74L90	reviewed	EFG_LACJO	Elongation factor G (EF-G)	fusA LJ_0337	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)	698	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0032790	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; ribosome disassembly [GO:0032790]	ribosome disassembly [GO:0032790]	cytoplasm [GO:0005737]
A0A2P8LM33	A0A2P8LM33	unreviewed	A0A2P8LM33_9PSED	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	C7U57_03605	Pseudomonas sp. R9.37	478	GO:0005886; GO:0008750; GO:0050661	NADP binding [GO:0050661]; proton-translocating NAD(P)+ transhydrogenase activity [GO:0008750]	plasma membrane [GO:0005886]; NADP binding [GO:0050661]; proton-translocating NAD(P)+ transhydrogenase activity [GO:0008750]		plasma membrane [GO:0005886]
E2PHW4	E2PHW4		E2PHW4_NEIPO	deleted								
A0A1V3Y2M1	A0A1V3Y2M1	unreviewed	A0A1V3Y2M1_LACGS	Glyceraldehyde-3-phosphate dehydrogenase	gap gapA CCE30_07650 CYJ86_04340 F8244_01270 J3E67_001298 LJCM1025_07900	Lactobacillus gasseri	338	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]	glucose metabolic process [GO:0006006]	
A0A267MAP3	A0A267MAP3	unreviewed	A0A267MAP3_LACJH	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA A3Q24_03290	Lactobacillus johnsonii	251	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	cytosol [GO:0005829]
A0A380ECQ9	A0A380ECQ9	unreviewed	A0A380ECQ9_STAAU	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	pflA_2 NCTC10702_00418	Staphylococcus aureus	106	GO:0016829; GO:0043365; GO:0046872; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; [formate-C-acetyltransferase]-activating enzyme activity [GO:0043365]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]	4 iron, 4 sulfur cluster binding [GO:0051539]; [formate-C-acetyltransferase]-activating enzyme activity [GO:0043365]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]		
A0A2S6WF01	A0A2S6WF01	unreviewed	A0A2S6WF01_9ACTN	Uncharacterized protein	BZZ08_07391	Streptomyces sp. MH60	282					
I4K6B4	I4K6B4	unreviewed	I4K6B4_9PSED	tRNA-(Ms[2]io[6]A)-hydroxylase (EC 1.-.-.-)	miaE PflSS101_2329	Pseudomonas lactis	200	GO:0006400; GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity [GO:0045301]	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity [GO:0045301]; tRNA modification [GO:0006400]	tRNA modification [GO:0006400]	
A0A3M5XJ37	A0A3M5XJ37		A0A3M5XJ37_9PSED	deleted								
A0A143GGV7	A0A143GGV7		A0A143GGV7_9PSED	deleted								
A0A251WN86	A0A251WN86		A0A251WN86_9FIRM	deleted								
A0A2T1BQ63	A0A2T1BQ63		A0A2T1BQ63_CORDP	deleted								
A0A251XBP0	A0A251XBP0	unreviewed	A0A251XBP0_9GAMM	Endonuclease	TPSD3_01370	Thioflexithrix psekupsensis	295					
A0A5B0D099	A0A5B0D099	unreviewed	A0A5B0D099_9MICO	Uncharacterized protein	FQ142_17325	Microbacterium sp. ANT_H45B	66					
A0A0F0CDV5	A0A0F0CDV5	unreviewed	A0A0F0CDV5_9CLOT	Uncharacterized protein	CLFS41_16270	Clostridium sp. FS41	141					
A0A368KZ13	A0A368KZ13	unreviewed	A0A368KZ13_9BACT	DUF1725 domain-containing protein	DTL42_00515	Bremerella cremea	200					
A0A1V2SEZ9	A0A1V2SEZ9		A0A1V2SEZ9_9BACI	deleted								
A0A2T0HPZ2	A0A2T0HPZ2	unreviewed	A0A2T0HPZ2_PSEFL	Helix-turn-helix domain-containing protein	C7A10_27775	Pseudomonas fluorescens	201	GO:0003677; GO:0003700; GO:0005829	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		cytosol [GO:0005829]
A0A2N7YDK2	A0A2N7YDK2	unreviewed	A0A2N7YDK2_9PSED	Reverse transcriptase domain-containing protein	C1Y27_31460	Pseudomonas sp. GW704-F2	88					
A0A4Q2GP29	A0A4Q2GP29		A0A4Q2GP29_KLEPN	deleted								
A0A1R1BS14	A0A1R1BS14	unreviewed	A0A1R1BS14_9BACL	Reverse transcriptase domain-containing protein	BK133_30830	Paenibacillus sp. FSL H8-0548	102					
A0A137PN31	A0A137PN31	unreviewed	A0A137PN31_LACJH	Uncharacterized protein	A3P64_08795 A3Q24_09325 AYJ53_04065 BBP16_08225 CBF50_06990 D7321_01910 FEE39_01510 GJU95_06260 GTO82_01995 K8V69_04365 NSA17_06310	Lactobacillus johnsonii	72					
A0A2M9XJE0	A0A2M9XJE0		A0A2M9XJE0_9LEPT	deleted								
A0A2N2U7S4	A0A2N2U7S4		A0A2N2U7S4_9PROT	deleted								
A0A4V2JQC3	A0A4V2JQC3	unreviewed	A0A4V2JQC3_9BACT	Uncharacterized protein	DU473_08235	Campylobacter novaezeelandiae	99					
S7VIJ0	S7VIJ0	unreviewed	S7VIJ0_9BACT	Ribosome hibernation promoting factor (HPF)	hpf ADICYQ_1633	Cyclobacterium qasimii M12-11B	185	GO:0022627; GO:0043024; GO:0045900	ribosomal small subunit binding [GO:0043024]	cytosolic small ribosomal subunit [GO:0022627]; ribosomal small subunit binding [GO:0043024]; negative regulation of translational elongation [GO:0045900]	negative regulation of translational elongation [GO:0045900]	cytosolic small ribosomal subunit [GO:0022627]
A0A368MLB6	A0A368MLB6		A0A368MLB6_ACIBA	deleted								
A0A2A8G8F5	A0A2A8G8F5		A0A2A8G8F5_9BACI	deleted								
A0A2I2KZ24	A0A2I2KZ24	unreviewed	A0A2I2KZ24_9ACTN	Uncharacterized protein	FRACA_5630001	Frankia canadensis	71					
A0A0E9DG03	A0A0E9DG03		A0A0E9DG03_CHLTH	deleted								
W4TTY0	W4TTY0		W4TTY0_CUTAC	deleted								
A0A235B1D2	A0A235B1D2	unreviewed	A0A235B1D2_9BACL	Uncharacterized protein	CHM34_18370	Paludifilum halophilum	60					
A0A2A2I6F0	A0A2A2I6F0	unreviewed	A0A2A2I6F0_9BACI	Uncharacterized protein	CIL05_21425	Virgibacillus profundi	85					
A0A367GKV0	A0A367GKV0	unreviewed	A0A367GKV0_9SPHI	Uncharacterized protein	DJ568_17050	Mucilaginibacter hurinus	72					
A0A0U1N3J4	A0A0U1N3J4		A0A0U1N3J4_CHLTH	deleted								
A0A317T9J9	A0A317T9J9		A0A317T9J9_CLOPF	deleted								
A0A2N6IBK7	A0A2N6IBK7	unreviewed	A0A2N6IBK7_9BURK	Endonuclease	CSZ94_27320	Janthinobacterium sp. ROICE36	240	GO:0004519	endonuclease activity [GO:0004519]	endonuclease activity [GO:0004519]		
A0A0U1N3C7	A0A0U1N3C7		A0A0U1N3C7_CHLTH	deleted								
A0A2G5MX92	A0A2G5MX92		A0A2G5MX92_9PSED	deleted								
A0A3N9PIP5	A0A3N9PIP5		A0A3N9PIP5_9RHOB	deleted								
A0A550J2B9	A0A550J2B9		A0A550J2B9_9PROT	deleted								
A0A137PKG1	A0A137PKG1	unreviewed	A0A137PKG1_LACJH	Phosphoglycerate kinase (EC 2.7.2.3)	pgk AYJ53_05700 CBF50_05795 D7321_07205 FEE39_05990 GJU95_04575 GTO82_06535 K8V69_04940 NSA17_00105	Lactobacillus johnsonii	403	GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531	ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]	cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	cytosol [GO:0005829]
A0A0E2J979	A0A0E2J979		A0A0E2J979_CHLPS	deleted								
A0A0M2KL89	A0A0M2KL89	unreviewed	A0A0M2KL89_9GAMM	Uncharacterized protein	SY86_00705	Erwinia tracheiphila	114					
A0A2S3SEF4	A0A2S3SEF4		A0A2S3SEF4_VIBVL	deleted								
