# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "30" "-t" "CDS" "-g" "transcript_id" "-s" "0" "-p" "-M" "-a" "./trinity_out_dir.Trinity.fasta.transdecoder.gtf" "-o" "NwOut-fc.txt" "SRR9602334UnmappedAligned.sortedByCoord.out.bam" "SRR9602335UnmappedAligned.sortedByCoord.out.bam" "SRR9602336UnmappedAligned.sortedByCoord.out.bam" "SRR9602337UnmappedAligned.sortedByCoord.out.bam" "SRR9602338UnmappedAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9602334UnmappedAligned.sortedByCoord.out.bam	SRR9602335UnmappedAligned.sortedByCoord.out.bam	SRR9602336UnmappedAligned.sortedByCoord.out.bam	SRR9602337UnmappedAligned.sortedByCoord.out.bam	SRR9602338UnmappedAligned.sortedByCoord.out.bam
TRINITY_DN16127_c0_g1_i1.p3	TRINITY_DN16127_c0_g1_i1	2	187	+	186	0	0	0	1	0
TRINITY_DN16128_c0_g1_i1.p3	TRINITY_DN16128_c0_g1_i1	2	259	-	258	0	0	0	2	0
TRINITY_DN16132_c0_g1_i1.p2	TRINITY_DN16132_c0_g1_i1	2	217	+	216	0	0	0	0	0
TRINITY_DN16134_c0_g1_i1.p2	TRINITY_DN16134_c0_g1_i1	2	256	+	255	4	0	0	0	0
TRINITY_DN16139_c0_g1_i1.p2	TRINITY_DN16139_c0_g1_i1	3	653	+	651	6	0	0	6	0
TRINITY_DN16140_c0_g1_i1.p1	TRINITY_DN16140_c0_g1_i1	1	267	+	267	3	0	0	0	0
TRINITY_DN16141_c0_g1_i1.p1	TRINITY_DN16141_c0_g1_i1	3	527	-	525	7	1	0	2	0
TRINITY_DN16142_c0_g1_i1.p3	TRINITY_DN16142_c0_g1_i1	1	249	+	249	2	0	0	0	0
TRINITY_DN16143_c0_g1_i1.p1	TRINITY_DN16143_c0_g1_i1	2	1066	-	1065	13	0	1	1	0
TRINITY_DN16146_c0_g1_i1.p1	TRINITY_DN16146_c0_g1_i1	1	258	+	258	2	0	0	0	0
TRINITY_DN16147_c0_g1_i1.p1	TRINITY_DN16147_c0_g1_i1	1	222	+	222	2	0	0	0	0
TRINITY_DN16152_c0_g1_i1.p1	TRINITY_DN16152_c0_g1_i1	3	800	-	798	13	0	1	0	0
TRINITY_DN16153_c0_g1_i1.p2	TRINITY_DN16153_c0_g1_i1	2	244	-	243	0	0	0	0	2
TRINITY_DN16155_c0_g1_i1.p3	TRINITY_DN16155_c0_g1_i1	2	592	-	591	4	0	0	1	0
TRINITY_DN16158_c0_g1_i1.p4	TRINITY_DN16158_c0_g1_i1	2	184	+	183	0	0	0	0	0
TRINITY_DN16160_c0_g1_i1.p2	TRINITY_DN16160_c0_g1_i1	3	236	-	234	2	0	0	0	0
TRINITY_DN16161_c0_g1_i1.p1	TRINITY_DN16161_c0_g1_i1	3	389	-	387	3	0	0	0	0
TRINITY_DN16162_c0_g1_i1.p1	TRINITY_DN16162_c0_g1_i1	2	247	-	246	0	0	0	0	3
TRINITY_DN16163_c0_g1_i1.p1	TRINITY_DN16163_c0_g1_i1	31	255	+	225	0	1	0	0	1
TRINITY_DN16165_c0_g1_i1.p1	TRINITY_DN16165_c0_g1_i1	3	704	-	702	9	0	0	0	0
TRINITY_DN16166_c0_g1_i1.p1	TRINITY_DN16166_c0_g1_i1	3	431	-	429	5	0	0	0	2
TRINITY_DN16167_c0_g1_i1.p2	TRINITY_DN16167_c0_g1_i1	2	373	-	372	4	0	0	0	0
TRINITY_DN16169_c0_g1_i1.p2	TRINITY_DN16169_c0_g1_i1	2	229	+	228	1	0	0	0	0
TRINITY_DN16170_c0_g1_i1.p1	TRINITY_DN16170_c0_g1_i1	1	327	+	327	4	0	0	0	0
TRINITY_DN16175_c0_g1_i1.p2	TRINITY_DN16175_c0_g1_i1	73	354	-	282	0	1	1	0	0
TRINITY_DN16176_c0_g1_i1.p3	TRINITY_DN16176_c0_g1_i1	1	387	+	387	5	0	0	0	0
TRINITY_DN16183_c0_g1_i1.p1	TRINITY_DN16183_c0_g1_i1	1	336	+	336	0	0	0	0	2
TRINITY_DN16185_c0_g1_i1.p2	TRINITY_DN16185_c0_g1_i1	2	238	-	237	0	0	0	2	0
TRINITY_DN16186_c0_g1_i1.p2	TRINITY_DN16186_c0_g1_i1	1	378	-	378	5	0	0	0	0
TRINITY_DN16186_c0_g1_i1.p3	TRINITY_DN16186_c0_g1_i1	377	562	+	186	0	0	0	0	0
TRINITY_DN16189_c0_g1_i1.p1	TRINITY_DN16189_c0_g1_i1	2	238	-	237	3	0	0	0	0
TRINITY_DN16191_c0_g1_i1.p1	TRINITY_DN16191_c0_g1_i1	2	304	+	303	3	0	0	0	0
TRINITY_DN16194_c0_g1_i1.p2	TRINITY_DN16194_c0_g1_i1	2	226	+	225	2	0	0	0	0
TRINITY_DN16195_c0_g1_i1.p2	TRINITY_DN16195_c0_g1_i1	3	233	-	231	2	0	0	0	0
TRINITY_DN16197_c0_g1_i1.p2	TRINITY_DN16197_c0_g1_i1	1	495	-	495	1	0	0	1	3
TRINITY_DN16199_c0_g1_i1.p1	TRINITY_DN16199_c0_g1_i1	1	501	+	501	0	3	0	0	0
TRINITY_DN161_c0_g1_i3.p1	TRINITY_DN161_c0_g1_i3	1	636	+	636	0	2	1	2	1
TRINITY_DN16201_c1_g1_i1.p2	TRINITY_DN16201_c1_g1_i1	3	239	+	237	0	0	1	0	0
TRINITY_DN16202_c0_g1_i1.p1	TRINITY_DN16202_c0_g1_i1	2	202	-	201	0	0	0	0	0
TRINITY_DN16204_c0_g1_i1.p2	TRINITY_DN16204_c0_g1_i1	3	287	-	285	5	0	0	0	0
TRINITY_DN16205_c0_g1_i1.p1	TRINITY_DN16205_c0_g1_i1	1	264	+	264	2	0	0	0	0
TRINITY_DN16207_c0_g1_i1.p1	TRINITY_DN16207_c0_g1_i1	1	570	+	570	8	0	0	0	1
TRINITY_DN16211_c0_g1_i1.p1	TRINITY_DN16211_c0_g1_i1	3	200	+	198	0	0	0	3	0
TRINITY_DN16218_c0_g1_i1.p3	TRINITY_DN16218_c0_g1_i1	3	221	+	219	3	0	0	0	0
TRINITY_DN1621_c1_g1_i1.p2	TRINITY_DN1621_c1_g1_i1	133	336	+	204	0	0	0	0	1
TRINITY_DN16225_c0_g1_i1.p3	TRINITY_DN16225_c0_g1_i1	242	448	-	207	0	0	0	0	0
TRINITY_DN16225_c0_g1_i1.p4	TRINITY_DN16225_c0_g1_i1	3	194	+	192	0	1	0	0	0
TRINITY_DN16227_c0_g1_i1.p2	TRINITY_DN16227_c0_g1_i1	3	239	+	237	0	1	1	0	0
TRINITY_DN16229_c0_g1_i1.p2	TRINITY_DN16229_c0_g1_i1	30	272	-	243	0	0	0	2	0
TRINITY_DN16230_c0_g1_i1.p1	TRINITY_DN16230_c0_g1_i1	1	243	+	243	2	0	0	0	0
TRINITY_DN16231_c0_g1_i1.p1	TRINITY_DN16231_c0_g1_i1	1	798	+	798	11	0	3	1	0
TRINITY_DN16235_c0_g1_i1.p2	TRINITY_DN16235_c0_g1_i1	37	276	+	240	0	0	1	0	0
TRINITY_DN16237_c0_g1_i1.p2	TRINITY_DN16237_c0_g1_i1	2	241	+	240	2	0	0	0	0
TRINITY_DN16238_c0_g1_i1.p3	TRINITY_DN16238_c0_g1_i1	1	435	-	435	6	0	2	1	0
TRINITY_DN16239_c0_g1_i1.p2	TRINITY_DN16239_c0_g1_i1	3	248	+	246	2	0	0	0	0
TRINITY_DN16241_c0_g1_i1.p1	TRINITY_DN16241_c0_g1_i1	3	719	+	717	9	1	0	1	0
TRINITY_DN16245_c0_g1_i1.p2	TRINITY_DN16245_c0_g1_i1	3	305	+	303	3	0	0	0	0
TRINITY_DN16247_c0_g1_i1.p1	TRINITY_DN16247_c0_g1_i1	1	393	+	393	0	0	1	0	1
TRINITY_DN16249_c0_g1_i1.p1	TRINITY_DN16249_c0_g1_i1	3	317	+	315	10	0	0	0	0
TRINITY_DN16250_c0_g1_i1.p1	TRINITY_DN16250_c0_g1_i1	1	267	+	267	2	0	0	0	0
TRINITY_DN16251_c0_g1_i1.p2	TRINITY_DN16251_c0_g1_i1	1	273	-	273	0	5	0	0	0
TRINITY_DN16253_c0_g1_i1.p3	TRINITY_DN16253_c0_g1_i1	66	263	-	198	3	0	0	0	0
TRINITY_DN16255_c0_g1_i1.p2	TRINITY_DN16255_c0_g1_i1	2	412	-	411	3	0	0	2	0
TRINITY_DN16258_c0_g1_i1.p3	TRINITY_DN16258_c0_g1_i1	1	330	-	330	0	0	0	0	2
TRINITY_DN16261_c0_g1_i1.p1	TRINITY_DN16261_c0_g1_i1	3	377	-	375	2	0	0	0	1
TRINITY_DN16263_c0_g1_i1.p1	TRINITY_DN16263_c0_g1_i1	1	327	+	327	2	0	0	0	2
TRINITY_DN16266_c0_g1_i1.p1	TRINITY_DN16266_c0_g1_i1	1	219	+	219	5	0	0	0	0
TRINITY_DN16267_c0_g1_i1.p1	TRINITY_DN16267_c0_g1_i1	1	231	+	231	2	0	0	0	0
TRINITY_DN16272_c0_g1_i1.p1	TRINITY_DN16272_c0_g1_i1	3	269	-	267	2	0	0	0	0
TRINITY_DN16275_c0_g1_i1.p1	TRINITY_DN16275_c0_g1_i1	2	211	+	210	0	0	0	0	4
TRINITY_DN16276_c0_g1_i1.p1	TRINITY_DN16276_c0_g1_i1	44	334	+	291	1	1	0	0	0
TRINITY_DN16281_c0_g1_i1.p2	TRINITY_DN16281_c0_g1_i1	1	342	+	342	2	0	0	1	0
TRINITY_DN16282_c0_g1_i1.p1	TRINITY_DN16282_c0_g1_i1	1	270	+	270	3	1	0	0	0
TRINITY_DN16283_c0_g1_i1.p1	TRINITY_DN16283_c0_g1_i1	1	285	-	285	1	0	0	1	0
TRINITY_DN16284_c0_g1_i1.p3	TRINITY_DN16284_c0_g1_i1	3	218	+	216	2	0	0	0	0
TRINITY_DN16289_c0_g1_i1.p1	TRINITY_DN16289_c0_g1_i1	74	424	-	351	11	0	0	0	0
TRINITY_DN16292_c0_g1_i1.p3	TRINITY_DN16292_c0_g1_i1	2	355	-	354	3	0	1	0	0
TRINITY_DN16293_c0_g1_i1.p1	TRINITY_DN16293_c0_g1_i1	1	438	+	438	1	0	0	0	2
TRINITY_DN16295_c0_g1_i1.p3	TRINITY_DN16295_c0_g1_i1	2	244	+	243	1	0	0	0	0
TRINITY_DN16296_c0_g1_i1.p2	TRINITY_DN16296_c0_g1_i1	3	221	+	219	2	0	0	0	0
TRINITY_DN16297_c0_g1_i1.p2	TRINITY_DN16297_c0_g1_i1	134	511	+	378	1	1	1	0	0
TRINITY_DN162_c0_g2_i2.p4	TRINITY_DN162_c0_g2_i2	17	226	-	210	8	2	3	64	31
TRINITY_DN162_c20_g1_i1.p1	TRINITY_DN162_c20_g1_i1	2	226	+	225	0	3	0	3	1
TRINITY_DN162_c5_g1_i1.p2	TRINITY_DN162_c5_g1_i1	3	191	+	189	0	1	0	6	1
TRINITY_DN16303_c0_g1_i1.p3	TRINITY_DN16303_c0_g1_i1	2	229	+	228	2	0	0	0	0
TRINITY_DN16310_c0_g1_i1.p1	TRINITY_DN16310_c0_g1_i1	3	230	-	228	2	0	0	0	0
TRINITY_DN16311_c0_g1_i1.p1	TRINITY_DN16311_c0_g1_i1	2	304	-	303	3	0	0	0	0
TRINITY_DN16313_c0_g1_i1.p3	TRINITY_DN16313_c0_g1_i1	2	229	+	228	2	0	0	0	0
TRINITY_DN16317_c0_g1_i1.p1	TRINITY_DN16317_c0_g1_i1	1	327	-	327	1	0	0	2	0
TRINITY_DN1631_c0_g1_i4.p1	TRINITY_DN1631_c0_g1_i4	2	211	+	210	0	2	0	2	0
TRINITY_DN16323_c0_g1_i1.p2	TRINITY_DN16323_c0_g1_i1	1	333	+	333	8	0	0	0	0
TRINITY_DN16324_c0_g1_i1.p4	TRINITY_DN16324_c0_g1_i1	363	587	+	225	0	0	0	0	0
TRINITY_DN16324_c0_g1_i1.p5	TRINITY_DN16324_c0_g1_i1	152	358	+	207	1	0	0	0	0
TRINITY_DN16325_c0_g1_i1.p1	TRINITY_DN16325_c0_g1_i1	1	771	-	771	8	2	0	0	0
TRINITY_DN16326_c0_g1_i1.p2	TRINITY_DN16326_c0_g1_i1	33	236	-	204	2	0	0	0	0
TRINITY_DN16327_c0_g1_i1.p1	TRINITY_DN16327_c0_g1_i1	2	199	+	198	0	0	2	0	0
TRINITY_DN16330_c0_g1_i1.p3	TRINITY_DN16330_c0_g1_i1	2	247	+	246	1	0	0	0	0
TRINITY_DN16334_c0_g1_i1.p1	TRINITY_DN16334_c0_g1_i1	1	234	+	234	2	0	0	0	0
TRINITY_DN16342_c0_g1_i1.p1	TRINITY_DN16342_c0_g1_i1	2	250	-	249	0	0	0	0	1
TRINITY_DN16348_c0_g1_i1.p3	TRINITY_DN16348_c0_g1_i1	102	377	-	276	1	0	0	1	0
TRINITY_DN1634_c0_g1_i3.p1	TRINITY_DN1634_c0_g1_i3	1	201	-	201	0	0	0	0	0
TRINITY_DN16350_c0_g1_i1.p1	TRINITY_DN16350_c0_g1_i1	2	277	-	276	2	0	0	0	0
TRINITY_DN16355_c0_g1_i1.p1	TRINITY_DN16355_c0_g1_i1	318	623	-	306	0	0	0	0	0
TRINITY_DN16357_c0_g1_i1.p1	TRINITY_DN16357_c0_g1_i1	3	467	+	465	7	0	0	1	2
TRINITY_DN16360_c0_g1_i1.p1	TRINITY_DN16360_c0_g1_i1	2	214	-	213	6	0	0	0	0
TRINITY_DN16364_c0_g1_i1.p1	TRINITY_DN16364_c0_g1_i1	2	238	-	237	0	2	0	0	0
TRINITY_DN16365_c0_g1_i1.p3	TRINITY_DN16365_c0_g1_i1	3	392	+	390	9	2	0	0	0
TRINITY_DN16366_c0_g1_i1.p2	TRINITY_DN16366_c0_g1_i1	3	419	+	417	12	0	0	1	0
TRINITY_DN16368_c0_g1_i1.p3	TRINITY_DN16368_c0_g1_i1	157	549	+	393	0	1	1	1	0
TRINITY_DN16369_c0_g1_i1.p1	TRINITY_DN16369_c0_g1_i1	2	634	+	633	6	0	0	0	0
TRINITY_DN16377_c0_g1_i1.p2	TRINITY_DN16377_c0_g1_i1	1	327	-	327	0	0	0	1	0
TRINITY_DN16379_c0_g1_i1.p3	TRINITY_DN16379_c0_g1_i1	2	247	-	246	0	0	0	2	0
TRINITY_DN1637_c0_g1_i1.p1	TRINITY_DN1637_c0_g1_i1	1	915	+	915	10	0	3	2	1
TRINITY_DN16392_c0_g1_i1.p1	TRINITY_DN16392_c0_g1_i1	2	286	+	285	1	0	0	0	0
TRINITY_DN16394_c0_g1_i1.p2	TRINITY_DN16394_c0_g1_i1	50	556	+	507	5	0	0	2	0
TRINITY_DN163_c0_g1_i1.p1	TRINITY_DN163_c0_g1_i1	115	369	+	255	0	1	0	1	1
TRINITY_DN163_c0_g1_i10.p1	TRINITY_DN163_c0_g1_i10	115	459	+	345	1	5	1	0	3
TRINITY_DN163_c0_g1_i11.p2	TRINITY_DN163_c0_g1_i11	97	417	+	321	0	5	1	0	0
TRINITY_DN163_c0_g1_i2.p1	TRINITY_DN163_c0_g1_i2	115	459	+	345	1	5	1	0	3
TRINITY_DN163_c0_g1_i7.p3	TRINITY_DN163_c0_g1_i7	115	426	+	312	1	4	0	0	2
TRINITY_DN163_c0_g1_i8.p1	TRINITY_DN163_c0_g1_i8	97	351	+	255	0	4	1	0	0
TRINITY_DN163_c0_g1_i9.p1	TRINITY_DN163_c0_g1_i9	155	499	+	345	1	5	1	0	3
TRINITY_DN16403_c0_g1_i1.p3	TRINITY_DN16403_c0_g1_i1	2	229	+	228	1	0	0	0	0
TRINITY_DN16405_c0_g1_i1.p2	TRINITY_DN16405_c0_g1_i1	3	242	-	240	2	0	0	0	0
TRINITY_DN16406_c0_g1_i1.p2	TRINITY_DN16406_c0_g1_i1	95	460	-	366	3	0	1	0	1
TRINITY_DN16409_c0_g1_i1.p2	TRINITY_DN16409_c0_g1_i1	257	784	+	528	1	0	0	0	1
TRINITY_DN16409_c0_g1_i1.p4	TRINITY_DN16409_c0_g1_i1	2	241	+	240	1	2	0	0	0
TRINITY_DN16410_c0_g1_i1.p1	TRINITY_DN16410_c0_g1_i1	1	285	+	285	2	0	0	0	0
TRINITY_DN16413_c0_g1_i1.p3	TRINITY_DN16413_c0_g1_i1	1	294	-	294	2	0	0	0	0
TRINITY_DN16415_c0_g1_i1.p3	TRINITY_DN16415_c0_g1_i1	3	191	+	189	0	1	0	0	0
TRINITY_DN16419_c0_g1_i1.p2	TRINITY_DN16419_c0_g1_i1	3	494	+	492	5	0	0	0	0
TRINITY_DN16422_c0_g1_i1.p1	TRINITY_DN16422_c0_g1_i1	3	296	+	294	0	0	0	1	0
TRINITY_DN16426_c0_g1_i1.p1	TRINITY_DN16426_c0_g1_i1	1	372	+	372	0	0	1	0	0
TRINITY_DN1642_c0_g1_i1.p1	TRINITY_DN1642_c0_g1_i1	1	474	+	474	0	2	0	3	0
TRINITY_DN1642_c0_g1_i13.p1	TRINITY_DN1642_c0_g1_i13	1	408	+	408	0	2	1	10	3
TRINITY_DN1642_c0_g1_i14.p3	TRINITY_DN1642_c0_g1_i14	1	471	+	471	0	0	0	3	2
TRINITY_DN1642_c0_g1_i16.p1	TRINITY_DN1642_c0_g1_i16	1	363	+	363	0	3	3	3	2
TRINITY_DN1642_c0_g1_i2.p3	TRINITY_DN1642_c0_g1_i2	115	336	+	222	0	0	0	1	2
TRINITY_DN1642_c0_g1_i3.p1	TRINITY_DN1642_c0_g1_i3	2	475	+	474	0	2	1	7	2
TRINITY_DN1642_c0_g1_i5.p1	TRINITY_DN1642_c0_g1_i5	2	337	+	336	0	0	0	0	0
TRINITY_DN1642_c0_g1_i9.p2	TRINITY_DN1642_c0_g1_i9	204	578	+	375	0	0	1	2	3
TRINITY_DN16437_c0_g1_i1.p2	TRINITY_DN16437_c0_g1_i1	3	263	-	261	2	0	0	0	0
TRINITY_DN16438_c0_g1_i1.p1	TRINITY_DN16438_c0_g1_i1	3	347	-	345	2	0	0	1	0
TRINITY_DN16441_c0_g1_i1.p1	TRINITY_DN16441_c0_g1_i1	3	551	-	549	10	0	0	0	0
TRINITY_DN16443_c0_g1_i1.p2	TRINITY_DN16443_c0_g1_i1	2	241	-	240	2	0	0	0	0
TRINITY_DN16445_c0_g1_i1.p4	TRINITY_DN16445_c0_g1_i1	3	224	+	222	2	0	0	0	0
TRINITY_DN16449_c0_g1_i1.p2	TRINITY_DN16449_c0_g1_i1	2	217	+	216	3	0	0	0	0
TRINITY_DN1644_c6_g1_i1.p2	TRINITY_DN1644_c6_g1_i1	1	216	+	216	0	0	0	1	1
TRINITY_DN16451_c0_g1_i1.p2	TRINITY_DN16451_c0_g1_i1	3	212	-	210	2	0	0	0	0
TRINITY_DN16452_c0_g1_i1.p1	TRINITY_DN16452_c0_g1_i1	3	443	-	441	3	0	0	0	0
TRINITY_DN16454_c0_g1_i1.p3	TRINITY_DN16454_c0_g1_i1	95	355	+	261	0	0	0	0	2
TRINITY_DN16455_c0_g1_i1.p2	TRINITY_DN16455_c0_g1_i1	3	218	+	216	2	0	0	0	0
TRINITY_DN1645_c0_g1_i10.p1	TRINITY_DN1645_c0_g1_i10	336	1250	-	915	3	1	0	0	3
TRINITY_DN1645_c0_g1_i10.p5	TRINITY_DN1645_c0_g1_i10	1	255	+	255	0	0	0	1	2
TRINITY_DN1645_c0_g1_i14.p2	TRINITY_DN1645_c0_g1_i14	105	596	-	492	2	0	2	1	2
TRINITY_DN1645_c0_g1_i15.p1	TRINITY_DN1645_c0_g1_i15	336	1193	-	858	3	1	0	0	1
TRINITY_DN1645_c0_g1_i15.p5	TRINITY_DN1645_c0_g1_i15	1	255	+	255	0	0	0	1	3
TRINITY_DN1645_c0_g1_i3.p2	TRINITY_DN1645_c0_g1_i3	24	374	-	351	0	0	2	0	0
TRINITY_DN1645_c0_g1_i3.p4	TRINITY_DN1645_c0_g1_i3	536	781	+	246	0	0	0	0	0
TRINITY_DN1645_c0_g1_i6.p4	TRINITY_DN1645_c0_g1_i6	1051	1380	-	330	0	0	0	0	0
TRINITY_DN1645_c0_g1_i6.p6	TRINITY_DN1645_c0_g1_i6	1	255	+	255	0	1	0	0	2
TRINITY_DN1645_c0_g1_i8.p2	TRINITY_DN1645_c0_g1_i8	491	1171	-	681	2	2	2	0	0
TRINITY_DN1645_c0_g1_i8.p3	TRINITY_DN1645_c0_g1_i8	1333	1908	+	576	0	0	0	0	0
TRINITY_DN1645_c0_g2_i1.p1	TRINITY_DN1645_c0_g2_i1	1	207	+	207	0	1	2	0	0
TRINITY_DN1645_c0_g3_i2.p1	TRINITY_DN1645_c0_g3_i2	51	887	+	837	2	1	1	0	1
TRINITY_DN16463_c0_g1_i1.p2	TRINITY_DN16463_c0_g1_i1	354	1184	+	831	3	0	2	0	0
TRINITY_DN16463_c0_g1_i1.p7	TRINITY_DN16463_c0_g1_i1	1	183	-	183	4	0	0	0	0
TRINITY_DN16467_c0_g1_i1.p2	TRINITY_DN16467_c0_g1_i1	2	592	-	591	13	0	0	0	0
TRINITY_DN16468_c0_g1_i1.p1	TRINITY_DN16468_c0_g1_i1	1239	2630	-	1392	1	0	0	0	0
TRINITY_DN16468_c0_g1_i1.p11	TRINITY_DN16468_c0_g1_i1	153	359	+	207	6	0	0	2	2
TRINITY_DN16468_c0_g1_i1.p3	TRINITY_DN16468_c0_g1_i1	383	1216	+	834	15	1	0	4	0
TRINITY_DN16470_c0_g1_i1.p1	TRINITY_DN16470_c0_g1_i1	3	281	-	279	8	0	0	0	0
TRINITY_DN16471_c0_g1_i1.p2	TRINITY_DN16471_c0_g1_i1	3	419	+	417	1	0	0	1	1
TRINITY_DN16472_c0_g1_i1.p2	TRINITY_DN16472_c0_g1_i1	2	361	+	360	8	0	0	0	0
TRINITY_DN16473_c0_g1_i1.p2	TRINITY_DN16473_c0_g1_i1	2	217	+	216	2	0	0	0	0
TRINITY_DN16474_c0_g1_i1.p4	TRINITY_DN16474_c0_g1_i1	187	576	-	390	2	2	1	0	0
TRINITY_DN16475_c0_g1_i1.p1	TRINITY_DN16475_c0_g1_i1	127	372	+	246	0	0	1	0	1
TRINITY_DN16476_c0_g1_i1.p2	TRINITY_DN16476_c0_g1_i1	2	250	+	249	0	0	1	0	0
TRINITY_DN16479_c0_g1_i1.p1	TRINITY_DN16479_c0_g1_i1	1	249	+	249	4	0	0	0	0
TRINITY_DN1647_c1_g1_i3.p1	TRINITY_DN1647_c1_g1_i3	133	411	-	279	2	5	1	1	2
TRINITY_DN16481_c0_g1_i1.p4	TRINITY_DN16481_c0_g1_i1	3	356	-	354	0	0	1	0	0
TRINITY_DN16482_c0_g1_i1.p2	TRINITY_DN16482_c0_g1_i1	2	292	+	291	4	0	0	0	0
TRINITY_DN16483_c0_g1_i1.p1	TRINITY_DN16483_c0_g1_i1	3	332	-	330	5	0	0	0	0
TRINITY_DN16487_c0_g1_i1.p3	TRINITY_DN16487_c0_g1_i1	3	344	+	342	1	0	0	1	0
TRINITY_DN16489_c0_g1_i1.p1	TRINITY_DN16489_c0_g1_i1	3	254	+	252	2	0	0	0	0
TRINITY_DN1648_c0_g1_i2.p3	TRINITY_DN1648_c0_g1_i2	2	559	+	558	0	1	2	8	3
TRINITY_DN1648_c0_g1_i3.p3	TRINITY_DN1648_c0_g1_i3	2	451	+	450	0	0	0	0	0
TRINITY_DN16492_c0_g1_i1.p3	TRINITY_DN16492_c0_g1_i1	2	301	+	300	2	0	0	0	0
TRINITY_DN16494_c0_g1_i1.p1	TRINITY_DN16494_c0_g1_i1	3	302	+	300	1	2	1	0	0
TRINITY_DN16497_c0_g1_i1.p1	TRINITY_DN16497_c0_g1_i1	1	234	+	234	0	0	2	0	0
TRINITY_DN1649_c0_g1_i1.p3	TRINITY_DN1649_c0_g1_i1	2	322	+	321	2	0	0	1	2
TRINITY_DN1649_c0_g1_i2.p1	TRINITY_DN1649_c0_g1_i2	2	190	+	189	0	0	0	0	2
TRINITY_DN1649_c0_g1_i3.p2	TRINITY_DN1649_c0_g1_i3	2	292	-	291	3	2	4	0	0
TRINITY_DN164_c2_g1_i4.p1	TRINITY_DN164_c2_g1_i4	2	205	+	204	0	2	0	0	0
TRINITY_DN16502_c0_g1_i1.p2	TRINITY_DN16502_c0_g1_i1	50	283	-	234	0	0	2	0	0
TRINITY_DN16505_c0_g1_i1.p3	TRINITY_DN16505_c0_g1_i1	1	429	-	429	6	0	0	0	0
TRINITY_DN16506_c0_g1_i1.p3	TRINITY_DN16506_c0_g1_i1	130	315	-	186	0	0	0	0	2
TRINITY_DN16514_c0_g1_i1.p3	TRINITY_DN16514_c0_g1_i1	2	199	+	198	0	0	0	0	0
TRINITY_DN16515_c0_g1_i1.p1	TRINITY_DN16515_c0_g1_i1	2	406	-	405	2	0	0	1	0
TRINITY_DN16526_c0_g1_i1.p2	TRINITY_DN16526_c0_g1_i1	2	217	+	216	2	0	0	0	0
TRINITY_DN16528_c0_g1_i1.p2	TRINITY_DN16528_c0_g1_i1	141	437	+	297	0	0	0	1	1
TRINITY_DN1652_c0_g1_i1.p1	TRINITY_DN1652_c0_g1_i1	3	989	+	987	19	1	0	0	2
TRINITY_DN1652_c0_g1_i2.p3	TRINITY_DN1652_c0_g1_i2	3	551	+	549	6	2	0	1	0
TRINITY_DN1652_c1_g1_i1.p2	TRINITY_DN1652_c1_g1_i1	1	306	+	306	6	0	2	0	1
TRINITY_DN1652_c1_g1_i1.p5	TRINITY_DN1652_c1_g1_i1	350	550	-	201	0	0	0	0	0
TRINITY_DN1652_c1_g2_i1.p3	TRINITY_DN1652_c1_g2_i1	433	759	-	327	0	0	0	0	0
TRINITY_DN1652_c1_g2_i1.p6	TRINITY_DN1652_c1_g2_i1	123	353	+	231	8	0	0	0	0
TRINITY_DN16530_c0_g1_i1.p1	TRINITY_DN16530_c0_g1_i1	1	195	+	195	2	0	0	0	0
TRINITY_DN16532_c0_g1_i1.p4	TRINITY_DN16532_c0_g1_i1	3	287	+	285	2	0	0	0	0
TRINITY_DN16534_c0_g1_i1.p2	TRINITY_DN16534_c0_g1_i1	1	468	-	468	2	0	2	0	0
TRINITY_DN16535_c0_g1_i1.p2	TRINITY_DN16535_c0_g1_i1	1	399	-	399	3	0	0	0	0
TRINITY_DN16539_c0_g1_i1.p1	TRINITY_DN16539_c0_g1_i1	1	228	-	228	0	0	4	0	0
TRINITY_DN16540_c0_g1_i1.p1	TRINITY_DN16540_c0_g1_i1	1	231	+	231	2	0	0	0	0
TRINITY_DN16545_c0_g1_i1.p1	TRINITY_DN16545_c0_g1_i1	1	363	+	363	2	0	0	0	0
TRINITY_DN16547_c0_g1_i1.p2	TRINITY_DN16547_c0_g1_i1	3	242	-	240	2	0	0	0	0
TRINITY_DN16549_c0_g1_i1.p1	TRINITY_DN16549_c0_g1_i1	2	226	-	225	0	0	2	0	0
TRINITY_DN1654_c0_g1_i1.p1	TRINITY_DN1654_c0_g1_i1	2	253	-	252	7	0	0	0	0
TRINITY_DN16552_c0_g1_i1.p1	TRINITY_DN16552_c0_g1_i1	1	240	+	240	6	0	0	0	0
TRINITY_DN16553_c0_g1_i1.p2	TRINITY_DN16553_c0_g1_i1	2	232	+	231	0	0	0	0	1
TRINITY_DN16565_c0_g1_i1.p4	TRINITY_DN16565_c0_g1_i1	2	241	-	240	2	0	0	0	0
TRINITY_DN16567_c0_g1_i1.p1	TRINITY_DN16567_c0_g1_i1	2	235	-	234	0	0	0	2	0
TRINITY_DN16568_c0_g1_i1.p3	TRINITY_DN16568_c0_g1_i1	3	521	+	519	2	0	0	1	0
